first_name,last_name,job_title,dob,email,phone,salary,department_id
Jeffery,Fox,Architect,1980-12-25,danielle42@example.com,345.267.4072x6069,172450,6
Katie,Rojas,Paediatric nurse,1966-12-06,wilsoncurtis@example.net,+1-394-952-6247x7544,318915,1
Christopher,Duncan,Fitness centre manager,1967-06-13,ruthcoleman@example.net,249.990.6522,787940,4
Alex,Garcia,Politician's assistant,1977-12-11,xwebb@example.org,001-513-233-8599x08311,52120,4
Bradley,Hartman,"Runner, broadcasting/film/video",1966-07-06,hughesashley@example.com,478.296.7236x176,559106,2
Kathryn,Vazquez,Warehouse manager,1991-10-17,frobinson@example.net,990.436.7353,816005,9
Jonathan,Gill,Oceanographer,1963-05-21,stephanieanderson@example.com,(431)590-6974x591,393114,3
Crystal,Villanueva,"Teacher, primary school",1993-01-13,elizabethmartin@example.net,640-276-0794,603037,3
Randall,Brown,Building control surveyor,1996-09-03,jimmykeller@example.org,001-799-994-2713x5968,286576,9
Rebecca,Phelps,Records manager,1992-09-10,lrobinson@example.com,+1-719-806-7455,819501,8
William,Shaw,Water engineer,1971-03-23,ngutierrez@example.com,674.916.1038x751,340283,1
Lindsey,Harris,"Designer, jewellery",1976-12-08,thomaspatrick@example.com,327-343-2512,492830,10
Melissa,Silva,Visual merchandiser,1980-05-30,josesims@example.org,568-226-4311,208416,5
Carl,Williams,"Designer, furniture",1985-09-12,cpalmer@example.com,690.681.1080x7727,345430,8
Roy,Jones,Actor,1994-12-08,hendersonjulia@example.com,715.578.9418x3645,728405,3
Mark,Payne,"Runner, broadcasting/film/video",1968-04-22,vjohnson@example.net,+1-668-201-7300x44743,459463,7
Joshua,Jimenez,Aid worker,1999-06-15,cjohnson@example.net,(901)389-5856,530130,8
Matthew,Baker,"Designer, fashion/clothing",1965-01-11,molly05@example.com,001-820-386-7341x13488,65381,3
Kenneth,Goodwin,Industrial buyer,1976-01-06,christinescott@example.org,+1-444-738-5522x2046,851039,10
John,Johnson,Arts development officer,2000-08-01,zsummers@example.net,(603)750-2051x79324,460361,5
George,Scott,Chartered loss adjuster,1984-10-06,robin88@example.org,280.373.3124,895015,8
Matthew,Green,Trade mark attorney,1973-10-25,matthewharvey@example.net,(885)668-0834,264832,5
Matthew,Adams,"Editor, commissioning",1988-05-17,davidestrada@example.com,948.346.5585x89856,854935,6
John,Powell,"Buyer, industrial",1979-10-14,jmcdaniel@example.net,(917)220-2230,193396,6
Michael,Werner,Hydrologist,1992-12-23,ywilson@example.net,590-707-0872x4800,901794,5
Brenda,Phillips,Warden/ranger,1992-06-28,smitheric@example.org,309-945-0275x4646,484195,5
Alicia,Santos,"Engineer, energy",1973-02-20,browndavid@example.com,+1-223-473-9530x29266,856200,9
Linda,Hill,Exercise physiologist,1972-02-23,deckerdavid@example.com,(931)974-8866x513,630520,1
Nicole,Schmidt,Product/process development scientist,1976-04-21,dlin@example.org,721-241-2211x58823,468095,3
Jason,Mooney,"Research officer, trade union",1979-06-14,ruben51@example.org,+1-686-601-7466x942,207060,7
Eric,Calderon,Broadcast presenter,1976-01-03,zbooth@example.com,673-507-4345x655,956762,3
Susan,Herman,"Engineer, chemical",1999-05-13,david34@example.net,+1-593-298-4168x2687,518364,3
Thomas,Perez,"Surveyor, commercial/residential",1995-02-21,zfoster@example.org,388.810.3723,911359,7
Christina,Martinez,Historic buildings inspector/conservation officer,1976-03-07,emily31@example.org,277.954.3449x4345,383173,1
Donald,Cunningham,Clinical cytogeneticist,1999-08-09,williamwilkins@example.net,+1-786-978-2115,701257,8
Elizabeth,Norris,Media planner,1996-08-22,uhoffman@example.com,437-555-6381x6953,766580,1
Roberta,Gonzalez,"Engineer, aeronautical",1991-10-29,pgriffin@example.net,001-958-305-7242x0943,42180,8
Kyle,Cuevas,Biomedical scientist,2000-03-15,ncastro@example.com,(320)587-8967x36880,953443,8
Jacqueline,Patel,Estate manager/land agent,1969-10-06,amyalvarado@example.com,001-746-754-2189x5612,464346,7
Matthew,Wolfe,Science writer,1987-04-24,sherriphillips@example.org,225.929.0624,157722,6
Benjamin,Miller,Animator,1992-12-07,tracy67@example.org,309.511.8422x8219,86520,4
Cynthia,Reed,Air broker,1982-10-17,kingtrevor@example.net,415-217-5477x3448,141782,9
Linda,Randall,Seismic interpreter,1973-12-28,perrydaniel@example.com,(513)422-3119,329556,4
Jose,Dennis,Information systems manager,1977-08-17,bonnie85@example.org,971-925-4159,256728,4
Robert,Ramirez,"Physicist, medical",1966-11-28,deboraholiver@example.net,(904)438-9325,216156,8
Michael,Tapia,Marine scientist,1970-08-08,xhoward@example.org,(406)728-9949,852842,7
Melissa,Carlson,Bonds trader,1994-04-10,wstevenson@example.com,714-323-7040x098,707189,10
Wanda,Gonzalez,Pharmacologist,1987-06-14,whansen@example.net,(206)591-7404,312827,9
Joshua,Martinez,Holiday representative,1991-12-16,craigfigueroa@example.org,443.860.4521,214778,10
Ruth,West,Risk analyst,1998-02-01,olsoncaroline@example.net,(609)423-0670x6593,935967,1
